session_id,user_id,session_start_ts,session_duration_sec,device_type,traffic_source,landing_page_type,pages_viewed,product_detail_views,search_used,search_queries_count,add_to_cart_count,remove_from_cart_count,checkout_started,checkout_steps_completed,error_events_count,avg_page_load_ms,returning_user,days_since_last_visit,prior_sessions_30d,prior_purchases_180d,purchase_made,order_value_usd
S100022,U0716,2026-02-12T11:17:00,26,tablet,social,category,4,1,0,0,0,0,0,0,0,693,0,-1,1,0,0,0.0
S100023,U1336,2026-04-11T20:47:54,122,desktop,paid_search,home,6,4,0,0,1,0,0,0,0,584,0,-1,1,0,1,44.98
S100024,U1327,2026-03-15T10:50:59,49,mobile,direct,product,3,2,0,0,1,1,0,0,1,752,1,1,3,1,0,0.0
S100025,U1253,2026-01-25T19:08:29,151,mobile,paid_search,category,4,1,0,0,1,0,0,0,1,1034,0,-1,2,0,0,0.0
S100026,U0325,2026-01-20T07:38:34,106,mobile,paid_search,product,5,4,0,0,0,0,0,0,0,586,1,16,4,0,0,0.0
S100027,U1356,2026-02-28T19:14:20,26,mobile,organic_search,promo,1,0,0,0,0,0,0,0,0,860,0,-1,1,1,0,0.0
S100028,U0814,2026-01-18T03:10:03,90,desktop,direct,blog,2,1,0,0,0,0,0,0,0,517,0,-1,2,0,1,39.77
S100029,U0629,2026-01-27T12:59:51,107,desktop,paid_search,search,5,5,0,0,0,0,0,0,0,646,0,-1,1,0,1,25.53
S100030,U1380,2026-03-28T02:01:14,183,mobile,referral,home,2,2,0,0,0,0,0,0,0,541,0,-1,1,0,0,0.0
S100031,U0642,2026-03-26T01:34:29,93,desktop,referral,product,4,0,0,0,0,0,0,0,0,720,0,-1,1,0,0,0.0
S100032,U1278,2026-03-08T00:37:52,69,desktop,paid_search,category,8,5,0,0,2,0,0,0,0,574,1,4,15,3,1,35.58
S100033,U0090,2026-03-18T07:14:08,121,mobile,organic_search,product,6,4,0,0,0,0,0,0,0,345,1,4,4,1,0,0.0
S100034,U1780,2026-03-12T00:08:58,290,mobile,organic_search,product,6,4,0,0,1,0,0,0,0,870,1,7,8,1,0,0.0
S100035,U0680,2026-01-20T12:47:08,401,mobile,organic_search,product,4,0,0,0,0,0,0,0,0,754,1,34,3,0,0,0.0
S100036,U0389,2026-03-06T23:55:52,385,desktop,referral,promo,8,3,0,0,0,0,0,0,0,579,1,16,6,1,1,39.81
S100037,U0596,2026-01-26T19:32:40,134,mobile,paid_search,product,6,2,1,0,0,0,0,0,0,761,0,-1,3,0,0,0.0
S100038,U0778,2026-02-16T22:58:50,180,tablet,social,search,5,3,0,0,0,0,0,0,0,639,0,-1,4,0,0,0.0
S100039,U0913,2026-02-04T09:41:32,182,mobile,referral,product,1,0,1,3,0,0,0,0,0,614,0,-1,0,1,0,0.0
S100040,U1086,2026-03-26T22:23:12,393,desktop,organic_search,category,6,4,0,0,0,0,1,3,1,596,1,7,9,1,1,70.73
S100041,U1565,2026-03-14T02:29:39,46,mobile,referral,promo,3,1,0,0,0,0,0,0,0,617,0,-1,0,1,0,0.0
S100042,U1638,2026-04-20T00:42:57,83,tablet,direct,home,2,0,0,0,0,0,0,0,1,755,1,7,9,2,0,0.0
S100043,U0432,2026-01-15T19:20:40,185,mobile,organic_search,product,6,2,0,0,0,0,0,0,0,927,1,1,11,1,0,0.0
S100044,U1345,2026-03-23T00:51:16,186,mobile,paid_search,category,5,3,0,0,0,0,0,0,0,702,1,1,7,2,0,0.0
S100045,U0719,2026-03-07T03:14:55,72,desktop,direct,category,2,1,0,0,0,0,0,0,0,577,1,4,11,1,0,0.0
S100046,U0660,2026-03-18T03:26:15,113,mobile,organic_search,home,4,2,0,0,1,0,0,0,0,644,1,4,9,2,0,0.0
S100047,U1765,2026-01-16T16:46:32,133,desktop,organic_search,blog,3,1,0,0,0,0,0,0,1,672,1,4,4,1,0,0.0
S100048,U0872,2026-03-25T18:46:21,57,mobile,direct,search,5,3,1,1,0,0,0,0,0,560,0,-1,0,0,0,0.0
S100049,U0131,2026-02-03T15:37:24,160,mobile,organic_search,search,1,0,1,1,0,0,0,0,0,566,1,6,6,1,0,0.0
S100050,U1585,2026-01-10T13:05:30,237,mobile,paid_search,search,8,5,0,0,0,0,0,0,0,805,1,4,5,0,0,0.0
S100051,U0690,2026-04-11T07:54:10,146,mobile,paid_search,promo,5,1,0,0,0,0,0,0,0,881,1,0,5,1,0,0.0
S100052,U1076,2026-04-19T04:45:42,142,mobile,organic_search,product,4,3,1,0,2,0,0,0,0,667,0,-1,0,0,0,0.0
S100053,U1466,2026-03-28T23:03:53,85,desktop,direct,home,2,1,0,0,0,0,0,0,0,606,1,0,10,3,0,0.0
S100054,U0236,2026-03-04T22:51:05,142,desktop,organic_search,home,6,2,1,1,0,0,0,0,0,507,0,-1,2,1,1,165.09
S100055,U0126,2026-03-21T11:05:47,68,mobile,organic_search,home,7,6,0,0,1,0,0,0,0,756,1,14,1,0,0,0.0
S100056,U0756,2026-04-08T05:12:26,97,desktop,social,promo,2,1,0,0,0,0,0,0,0,915,0,-1,1,0,0,0.0
S100057,U0311,2026-02-13T08:04:45,258,mobile,direct,promo,9,1,1,0,0,0,0,0,0,823,1,20,8,1,0,0.0
S100058,U0066,2026-04-16T12:31:37,147,desktop,direct,category,3,0,0,0,0,0,0,0,0,923,1,2,8,0,0,0.0
S100059,U0768,2026-02-12T02:28:46,254,mobile,organic_search,promo,5,2,1,1,0,0,0,0,0,664,1,2,17,1,0,0.0
S100060,U0205,2026-01-15T21:12:04,103,mobile,organic_search,search,13,6,0,0,0,0,0,0,0,1017,1,0,21,2,0,0.0
S100061,U0420,2026-02-19T17:05:38,244,desktop,organic_search,category,7,3,0,0,1,0,0,0,0,811,0,-1,1,0,0,0.0
S100062,U0867,2026-01-29T00:55:04,126,desktop,organic_search,home,4,3,0,0,0,0,0,0,0,430,0,-1,1,0,1,15.72
S100063,U0504,2026-03-10T12:55:04,83,desktop,email,promo,4,1,0,0,0,0,0,0,0,564,0,-1,0,0,1,42.93
S100064,U0374,2026-04-07T12:24:33,147,desktop,paid_search,category,6,3,0,0,1,0,0,0,0,826,1,16,15,3,1,50.4
S100065,U0704,2026-03-26T06:40:04,115,mobile,organic_search,category,3,1,1,1,1,0,0,0,0,611,1,7,7,1,0,0.0
S100066,U0713,2026-02-01T10:29:01,69,desktop,direct,product,4,2,0,0,0,0,0,0,0,642,1,2,0,1,1,116.6
S100067,U1251,2026-04-15T04:30:04,178,desktop,direct,product,1,1,1,1,1,1,0,0,0,640,0,-1,2,0,0,0.0
S100068,U0578,2026-04-01T10:58:22,125,mobile,organic_search,promo,5,2,0,0,0,0,0,0,1,846,1,1,3,1,0,0.0
S100069,U1460,2026-03-22T17:16:20,149,mobile,organic_search,product,4,2,0,0,1,0,0,0,0,647,1,8,7,0,0,0.0
S100070,U1551,2026-03-22T19:55:35,20,mobile,organic_search,search,4,2,0,0,0,0,0,0,0,720,0,-1,2,0,0,0.0
S100071,U1122,2026-01-29T11:57:01,246,mobile,referral,category,5,3,1,2,0,0,0,0,0,745,1,3,6,0,0,0.0
S100072,U0599,2026-04-06T02:57:53,230,desktop,paid_search,home,4,2,0,0,0,0,0,0,0,635,0,-1,1,0,1,46.34
S100073,U0388,2026-03-05T05:46:00,189,desktop,direct,promo,2,1,0,0,0,0,0,0,0,688,1,11,5,0,1,77.35
S100074,U1549,2026-01-15T23:42:12,302,mobile,paid_search,home,7,2,1,0,0,0,0,0,1,1034,1,18,4,0,0,0.0
S100075,U0365,2026-02-09T08:13:11,114,mobile,organic_search,search,4,3,0,0,1,0,0,0,1,724,1,19,9,2,0,0.0
S100076,U1668,2026-01-21T02:57:30,153,mobile,organic_search,promo,5,3,0,0,1,0,0,0,0,515,0,-1,1,0,0,0.0
S100077,U1706,2026-01-20T07:33:37,163,mobile,organic_search,home,7,3,0,0,0,0,0,0,0,838,1,11,15,3,0,0.0
S100078,U0618,2026-01-22T00:08:03,226,mobile,organic_search,product,6,2,1,3,0,0,0,0,0,478,1,9,13,2,0,0.0
S100079,U0580,2026-03-13T10:56:26,81,mobile,social,home,2,2,1,2,0,0,0,0,0,862,0,-1,2,1,0,0.0
S100080,U0492,2026-04-08T06:18:56,109,mobile,social,promo,4,4,1,1,1,0,0,0,0,634,1,2,2,0,0,0.0
S100081,U1781,2026-02-08T02:44:16,236,mobile,direct,product,7,3,1,0,0,0,0,0,0,715,1,14,6,0,0,0.0
S100082,U0788,2026-02-06T06:38:44,308,mobile,direct,search,8,3,1,2,0,0,0,0,1,729,1,3,12,0,0,0.0
S100083,U0326,2026-03-07T21:37:05,375,desktop,organic_search,search,10,3,1,2,1,0,0,0,0,645,1,27,13,1,0,0.0
S100084,U0255,2026-02-15T20:53:12,232,desktop,direct,category,6,2,0,0,0,0,0,0,0,684,1,31,9,0,0,0.0
S100085,U1215,2026-03-12T22:45:13,124,desktop,direct,home,6,1,1,0,2,0,0,0,0,661,1,11,14,0,0,0.0
S100086,U0531,2026-01-14T14:18:51,26,mobile,email,product,4,1,0,0,0,0,0,0,0,707,1,6,2,0,0,0.0
S100087,U0997,2026-01-21T16:08:31,72,mobile,direct,search,2,2,1,1,1,0,0,0,2,979,1,47,8,0,0,0.0
S100088,U0137,2026-01-23T18:36:12,131,mobile,referral,promo,1,0,0,0,0,0,0,0,1,755,1,4,6,4,0,0.0
S100089,U1728,2026-02-22T03:20:06,226,mobile,email,home,3,1,1,0,0,0,0,0,1,865,1,0,3,1,0,0.0
S100090,U1367,2026-01-17T00:50:31,65,mobile,direct,promo,3,2,1,1,0,0,0,0,0,930,0,-1,0,0,0,0.0
S100091,U0875,2026-03-20T20:22:18,98,tablet,referral,category,6,3,0,0,0,0,0,0,0,896,1,19,9,1,0,0.0
S100092,U0930,2026-04-01T07:39:38,155,tablet,direct,category,4,2,1,2,0,0,1,0,0,884,1,9,14,0,0,0.0
S100093,U1139,2026-02-26T18:08:41,189,desktop,referral,home,4,4,0,0,0,0,0,0,0,470,1,8,5,0,1,19.46
S100094,U1267,2026-03-26T19:44:14,113,desktop,social,home,3,3,0,0,0,0,0,0,0,639,1,12,2,0,1,48.97
S100095,U1197,2026-03-11T17:23:57,66,desktop,organic_search,home,5,3,1,0,0,0,0,0,0,541,0,-1,3,1,0,0.0
S100096,U0097,2026-04-11T16:25:07,20,mobile,referral,product,1,0,0,0,0,0,0,0,0,700,1,14,5,3,0,0.0
S100097,U0637,2026-01-15T18:55:03,348,tablet,referral,product,7,2,1,1,0,0,0,0,0,565,1,3,1,0,1,34.26
S100098,U1505,2026-03-25T12:07:51,23,mobile,organic_search,promo,5,4,0,0,1,0,0,0,0,822,1,3,4,0,0,0.0
S100099,U1412,2026-01-26T06:10:03,128,tablet,organic_search,home,6,3,1,1,0,0,0,0,0,581,1,7,15,2,0,0.0
S100100,U0784,2026-03-26T10:34:11,308,desktop,organic_search,category,8,4,0,0,0,0,0,0,0,672,1,17,9,0,0,0.0
S100101,U1440,2026-04-04T16:01:06,111,desktop,direct,home,3,1,0,0,0,0,0,0,0,550,0,-1,2,0,1,21.77
S100102,U0450,2026-02-16T21:01:48,127,desktop,direct,category,9,5,1,1,1,0,0,0,0,622,1,17,9,0,0,0.0
S100103,U0463,2026-02-19T19:28:34,243,desktop,direct,category,4,2,0,0,1,0,0,0,0,581,1,15,3,0,1,10.98
S100104,U0941,2026-01-12T22:23:50,156,mobile,email,promo,6,2,0,0,2,1,0,0,0,541,0,-1,3,0,0,0.0
S100105,U1426,2026-03-15T02:48:00,108,mobile,social,category,3,0,0,0,0,0,0,0,0,682,0,-1,2,0,0,0.0
S100106,U1183,2026-03-02T11:17:57,149,desktop,direct,search,5,3,0,0,1,0,0,0,0,549,1,6,4,2,1,74.07
S100107,U1277,2026-03-15T11:21:03,117,mobile,organic_search,home,5,4,0,0,0,0,0,0,0,700,0,-1,0,2,0,0.0
S100108,U1654,2026-03-13T13:32:18,274,desktop,direct,category,10,6,0,0,1,0,0,0,0,630,1,37,10,2,1,26.84
S100109,U1501,2026-04-02T15:05:31,77,desktop,direct,category,4,2,0,0,0,0,0,0,0,255,0,-1,2,1,1,50.18
S100110,U1537,2026-01-05T20:53:13,201,mobile,organic_search,home,7,5,1,0,1,0,0,0,1,760,0,-1,3,0,0,0.0
S100111,U1043,2026-01-31T17:00:43,307,mobile,email,home,7,4,1,2,0,0,0,0,0,916,1,3,13,1,0,0.0
S100112,U0280,2026-03-17T21:26:48,116,mobile,direct,product,1,0,0,0,0,0,0,0,0,789,0,-1,0,0,0,0.0
S100113,U1492,2026-01-29T11:20:41,168,desktop,direct,home,3,1,0,0,2,1,0,0,2,1010,1,12,18,0,0,0.0
S100114,U1562,2026-01-05T20:10:11,233,mobile,organic_search,home,5,3,0,0,1,0,0,0,0,685,0,-1,2,0,0,0.0
S100115,U1071,2026-04-06T02:19:12,214,desktop,organic_search,category,6,2,0,0,0,0,0,0,0,472,0,-1,2,0,1,76.31
S100116,U0848,2026-01-14T01:04:27,160,mobile,organic_search,home,3,2,1,1,0,0,0,0,0,687,1,0,6,1,0,0.0
S100117,U1618,2026-03-21T16:59:03,63,desktop,organic_search,home,2,0,0,0,0,0,0,0,0,780,0,-1,1,0,0,0.0
S100118,U1671,2026-04-20T03:54:25,155,desktop,organic_search,promo,5,1,0,0,0,0,0,0,0,548,1,14,9,1,1,20.86
S100119,U1065,2026-03-20T01:44:48,188,desktop,social,home,4,1,0,0,0,0,0,0,0,548,0,-1,2,1,1,77.92
S100120,U0343,2026-01-19T22:48:32,117,mobile,organic_search,product,6,5,0,0,2,0,0,0,0,680,1,73,12,0,0,0.0
S100121,U1038,2026-03-02T14:35:48,220,desktop,social,home,6,3,0,0,0,0,0,0,1,555,1,0,10,1,0,0.0
S100122,U0806,2026-01-06T16:50:00,231,mobile,organic_search,product,3,2,0,0,0,0,0,0,0,645,1,5,6,1,0,0.0
S100123,U0275,2026-02-25T00:40:11,72,mobile,organic_search,product,4,1,0,0,3,0,0,0,0,643,1,1,1,0,0,0.0
S100124,U0175,2026-02-08T08:59:28,20,mobile,email,category,2,2,0,0,0,0,0,0,0,751,0,-1,2,0,0,0.0
S100125,U0659,2026-03-11T20:05:14,174,desktop,organic_search,product,3,2,0,0,1,0,0,0,0,610,1,1,3,0,1,67.28
S100126,U1492,2026-02-13T04:57:25,64,mobile,direct,home,3,3,0,0,0,0,0,0,0,820,1,2,16,1,0,0.0
S100127,U1682,2026-02-20T23:00:34,111,desktop,organic_search,category,1,0,0,0,0,0,0,0,0,489,1,5,4,0,1,48.39
S100128,U1687,2026-01-11T04:32:35,235,mobile,social,home,5,4,0,0,0,0,0,0,0,647,1,1,5,0,0,0.0
S100129,U0488,2026-02-03T07:52:54,60,mobile,organic_search,product,6,2,1,2,1,1,0,0,1,746,0,-1,1,0,0,0.0
S100130,U0842,2026-02-20T04:13:31,20,desktop,organic_search,category,3,1,0,0,0,0,0,0,0,605,0,-1,2,0,0,0.0
S100131,U0423,2026-02-27T18:41:30,406,desktop,organic_search,product,12,4,1,3,0,0,0,0,2,790,1,10,18,0,0,0.0
S100132,U1468,2026-01-20T03:03:26,216,desktop,paid_search,home,3,1,1,3,0,0,0,0,0,550,1,7,2,0,1,17.03
S100133,U1184,2026-04-14T23:10:49,209,desktop,organic_search,search,10,5,0,0,1,0,0,0,0,752,1,3,6,0,1,68.94
S100134,U0857,2026-04-10T15:45:26,102,desktop,organic_search,home,2,1,0,0,1,1,0,0,0,628,1,9,5,0,0,0.0
S100135,U0158,2026-04-06T04:49:38,88,desktop,social,product,3,3,0,0,1,0,0,0,0,817,0,-1,1,0,0,0.0
S100136,U0235,2026-01-05T15:27:00,188,desktop,organic_search,product,6,1,0,0,0,0,0,0,0,536,1,7,2,0,1,87.17
S100137,U1255,2026-03-27T22:02:50,84,mobile,organic_search,category,2,1,0,0,0,0,0,0,0,773,0,-1,1,0,0,0.0
S100138,U0495,2026-03-30T23:19:34,120,desktop,paid_search,home,5,0,0,0,0,0,0,0,0,647,1,4,5,2,1,54.04
S100139,U0234,2026-02-20T12:26:24,315,desktop,organic_search,promo,10,3,1,2,0,0,0,0,0,637,1,2,26,1,1,31.12
S100140,U0512,2026-03-05T18:41:11,166,mobile,referral,home,5,2,0,0,0,0,0,0,1,816,1,22,17,4,0,0.0
S100141,U1274,2026-01-08T06:21:07,206,desktop,paid_search,product,4,0,1,1,0,0,0,0,0,622,1,1,6,1,1,61.08
S100142,U0915,2026-03-17T15:54:48,117,mobile,direct,product,8,3,0,0,0,0,0,0,0,649,1,16,10,0,0,0.0
S100143,U0220,2026-02-07T21:52:03,75,mobile,email,category,4,3,1,1,0,0,0,0,0,737,1,0,11,1,0,0.0
S100144,U0020,2026-03-25T07:54:32,169,desktop,paid_search,blog,4,3,0,0,0,0,0,0,0,646,0,-1,1,0,0,0.0
S100145,U0725,2026-02-13T23:14:08,20,mobile,direct,search,4,1,0,0,0,0,0,0,0,607,1,21,3,0,0,0.0
S100146,U1167,2026-03-05T00:47:21,99,mobile,organic_search,home,4,2,0,0,0,0,0,0,0,797,0,-1,2,0,0,0.0
S100147,U1281,2026-02-11T06:42:38,119,mobile,organic_search,blog,3,1,0,0,1,1,0,0,0,761,1,31,12,3,0,0.0
S100148,U0942,2026-03-18T11:11:31,160,desktop,organic_search,category,4,3,0,0,1,0,0,0,0,488,1,0,4,0,1,105.74
S100149,U0952,2026-01-05T09:27:44,74,tablet,social,blog,6,3,1,1,0,0,0,0,0,780,1,3,13,0,0,0.0
S100150,U1372,2026-01-26T23:55:50,131,desktop,social,home,4,2,0,0,0,0,0,0,0,565,1,1,3,0,0,0.0
S100151,U0876,2026-01-15T11:57:49,347,mobile,email,search,7,4,1,2,0,0,0,0,0,712,1,6,1,0,0,0.0
S100152,U1564,2026-04-07T17:38:34,204,desktop,organic_search,category,4,3,0,0,0,0,0,0,0,653,1,0,7,0,0,0.0
S100153,U0893,2026-02-05T02:54:31,61,mobile,paid_search,home,3,2,0,0,1,0,0,0,0,688,1,29,0,0,0,0.0
S100154,U0714,2026-01-13T16:01:23,228,mobile,direct,home,3,1,0,0,0,0,0,0,0,826,1,8,7,1,0,0.0
S100155,U0336,2026-03-26T03:19:50,59,mobile,organic_search,home,1,0,0,0,0,0,0,0,0,642,0,-1,1,0,0,0.0
S100156,U1261,2026-01-06T18:28:33,20,desktop,email,promo,4,1,1,0,0,0,0,0,0,736,1,7,2,1,1,24.62
S100157,U0327,2026-03-07T22:45:20,206,mobile,organic_search,product,6,2,0,0,2,0,0,0,0,1056,1,13,3,2,0,0.0
S100158,U0951,2026-03-27T05:48:01,116,mobile,referral,home,7,2,0,0,1,0,0,0,0,749,1,12,13,0,0,0.0
S100159,U1316,2026-03-17T09:04:05,74,desktop,paid_search,category,4,4,0,0,0,0,0,0,0,484,1,2,8,0,1,47.53
S100160,U0819,2026-01-21T16:56:35,293,mobile,organic_search,promo,3,2,0,0,0,0,0,0,0,493,1,1,6,1,0,0.0
S100161,U0992,2026-03-09T23:10:14,137,mobile,paid_search,home,4,1,0,0,0,0,0,0,1,1147,0,-1,1,0,0,0.0
S100162,U0025,2026-02-17T00:20:32,204,mobile,social,promo,6,4,0,0,0,0,0,0,0,687,1,5,1,0,0,0.0
S100163,U1463,2026-04-18T16:36:15,90,mobile,organic_search,category,3,3,0,0,1,0,0,0,0,885,0,-1,1,0,0,0.0
S100164,U0451,2026-02-03T08:01:32,272,mobile,paid_search,product,6,5,1,1,1,0,0,0,0,918,0,-1,1,0,0,0.0
S100165,U0295,2026-04-13T15:21:58,168,tablet,paid_search,promo,2,1,0,0,0,0,0,0,0,474,0,-1,1,0,1,40.35
S100166,U1313,2026-04-09T20:08:28,130,desktop,referral,category,6,2,0,0,0,0,0,0,0,524,1,7,5,3,1,42.47
S100167,U1110,2026-04-15T15:17:57,133,desktop,direct,home,2,2,0,0,0,0,0,0,1,674,0,-1,2,0,0,0.0
S100168,U1360,2026-03-07T08:54:06,108,desktop,paid_search,product,3,3,0,0,0,0,0,0,0,927,1,24,5,0,0,0.0
S100169,U1421,2026-01-10T01:48:39,42,mobile,organic_search,category,6,2,0,0,0,0,0,0,0,453,1,18,12,0,0,0.0
S100170,U0762,2026-01-18T11:34:55,134,mobile,organic_search,promo,2,1,0,0,0,0,1,0,1,728,1,0,3,1,0,0.0
S100171,U0879,2026-03-15T11:14:31,34,mobile,social,home,2,1,0,0,0,0,0,0,0,710,1,35,6,3,0,0.0
S100172,U1775,2026-03-25T22:11:14,20,mobile,referral,home,5,1,0,0,0,0,0,0,0,615,0,-1,0,0,0,0.0
S100173,U0728,2026-03-30T00:56:39,110,mobile,referral,product,5,3,0,0,2,0,0,0,0,1035,1,0,10,4,0,0.0
S100174,U1008,2026-02-15T12:30:55,174,mobile,referral,home,3,1,0,0,0,0,0,0,1,984,1,1,13,1,0,0.0
S100175,U1667,2026-04-13T10:02:23,357,mobile,organic_search,product,7,5,1,1,0,0,0,0,0,773,1,2,11,1,0,0.0
S100176,U1055,2026-03-02T13:33:38,250,mobile,referral,product,8,5,0,0,1,0,0,0,0,908,1,5,10,0,0,0.0
S100177,U1031,2026-04-07T17:51:38,105,desktop,direct,home,4,3,0,0,1,0,0,0,1,851,1,4,2,0,0,0.0
S100178,U1644,2026-04-19T14:32:42,41,desktop,social,promo,3,0,0,0,0,0,0,0,0,727,1,4,9,0,0,0.0
S100179,U0114,2026-02-18T08:46:57,35,mobile,direct,home,2,0,0,0,0,0,0,0,0,741,1,1,5,1,0,0.0
S100180,U1758,2026-01-07T02:43:13,85,tablet,organic_search,home,6,3,0,0,0,0,0,0,0,708,1,0,3,0,0,0.0
S100181,U1394,2026-02-24T00:10:26,275,mobile,organic_search,product,10,4,0,0,0,0,0,0,0,793,1,3,9,1,0,0.0
S100182,U1711,2026-01-19T06:07:31,116,mobile,organic_search,search,4,1,0,0,1,0,0,0,0,728,1,2,11,3,0,0.0
S100183,U1228,2026-01-18T16:03:15,258,desktop,organic_search,home,9,5,0,0,2,0,1,2,0,593,1,20,7,0,1,116.46
S100184,U1669,2026-04-01T14:46:45,222,desktop,email,category,11,6,0,0,0,0,0,0,0,383,1,10,19,1,1,22.05
S100185,U0644,2026-03-16T18:34:32,286,desktop,organic_search,category,8,1,1,1,0,0,0,0,0,551,1,26,9,0,1,37.03
S100186,U1511,2026-02-14T11:49:16,51,mobile,organic_search,blog,5,2,0,0,1,0,0,0,0,810,1,9,18,3,0,0.0
S100187,U0634,2026-02-08T08:28:49,75,mobile,email,blog,2,1,1,1,0,0,0,0,0,798,0,-1,1,2,0,0.0
S100188,U0492,2026-03-17T10:28:15,229,mobile,paid_search,home,4,2,0,0,0,0,0,0,1,593,1,16,8,1,0,0.0
S100189,U0213,2026-01-20T21:50:44,83,mobile,paid_search,category,3,2,0,0,0,0,0,0,0,828,1,13,6,2,0,0.0
S100190,U0514,2026-03-15T18:56:16,370,desktop,email,home,7,5,1,2,1,0,0,0,0,572,1,8,10,1,1,29.7
S100191,U0209,2026-01-25T02:02:44,267,mobile,organic_search,home,6,2,0,0,0,0,0,0,0,693,1,21,17,3,0,0.0
S100192,U0821,2026-03-05T17:48:42,351,desktop,organic_search,home,10,4,0,0,0,0,0,0,0,595,1,7,6,1,1,23.44
S100193,U1037,2026-01-08T21:04:12,57,desktop,direct,home,3,2,0,0,0,0,0,0,0,625,0,-1,1,0,0,0.0
S100194,U1081,2026-02-27T20:28:49,199,mobile,direct,home,5,2,0,0,0,0,0,0,1,872,1,5,9,1,0,0.0
S100195,U1432,2026-02-04T02:34:40,82,desktop,direct,search,3,2,1,1,1,0,0,0,0,665,1,0,4,1,0,0.0
S100196,U1007,2026-02-25T12:22:01,98,desktop,paid_search,home,5,1,0,0,0,0,0,0,2,571,1,4,8,0,0,0.0
S100197,U0847,2026-03-01T11:24:44,176,tablet,organic_search,category,7,6,1,1,0,0,0,0,0,453,0,-1,0,0,0,0.0
S100198,U0087,2026-01-30T21:43:02,172,mobile,direct,home,4,1,0,0,0,0,0,0,0,668,1,17,10,0,0,0.0
S100199,U1184,2026-02-07T09:45:17,34,mobile,social,home,3,2,0,0,3,0,0,0,0,882,1,28,3,1,0,0.0
S100200,U0702,2026-02-05T00:55:41,384,desktop,direct,home,9,2,0,0,1,0,0,0,0,583,1,18,7,1,0,0.0
S100201,U1682,2026-03-29T19:43:19,195,desktop,organic_search,search,4,1,1,1,0,0,0,0,0,536,1,0,2,1,0,0.0
S100202,U0898,2026-03-05T02:20:36,79,tablet,social,product,4,0,0,0,0,0,0,0,0,417,1,43,9,1,1,25.88
